country_code,reference_date_1_january_31_december,female_deaths,variant
900,1950,24641.827,Estimates
900,1951,24527.467,Estimates
900,1952,24328.74,Estimates
900,1953,24189.989,Estimates
900,1954,24111.232,Estimates
900,1955,24090.671,Estimates
900,1956,24122.246,Estimates
900,1957,24197.833,Estimates
900,1958,24301.758,Estimates
900,1959,24406.404,Estimates
900,1960,24480.629,Estimates
900,1961,24493.269,Estimates
900,1962,24416.24,Estimates
900,1963,24235.876,Estimates
900,1964,23958.534,Estimates
900,1965,23611.643,Estimates
900,1966,23237.953,Estimates
900,1967,22886.458,Estimates
900,1968,22594.286,Estimates
900,1969,22376.442,Estimates
900,1970,22231.945,Estimates
900,1971,22143.562,Estimates
900,1972,22079.396,Estimates
900,1973,22015.571,Estimates
900,1974,21946.691,Estimates
900,1975,21873.885,Estimates
900,1976,21804.938,Estimates
900,1977,21753.908,Estimates
900,1978,21731.685,Estimates
900,1979,21741.577,Estimates
900,1980,21786.264,Estimates
900,1981,21865.999,Estimates
900,1982,21974.965,Estimates
900,1983,22106.384,Estimates
900,1984,22255.131,Estimates
900,1985,22415.548,Estimates
900,1986,22582.434,Estimates
900,1987,22751.838,Estimates
900,1988,22920.045,Estimates
900,1989,23083.663,Estimates
900,1990,23240.585,Estimates
900,1991,23390.571,Estimates
900,1992,23536.221,Estimates
900,1993,23679.735,Estimates
900,1994,23821.611,Estimates
900,1995,23963.631,Estimates
900,1996,24107.941,Estimates
900,1997,24254.909,Estimates
900,1998,24403.496,Estimates
900,1999,24551.685,Estimates
900,2000,24694.002,Estimates
900,2001,24823.694,Estimates
900,2002,24937.284,Estimates
900,2003,25034.374,Estimates
900,2004,25117.489,Estimates
900,2005,25191.098,Estimates
900,2006,25261.373,Estimates
900,2007,25337.04,Estimates
900,2008,25426.524,Estimates
900,2009,25535.881,Estimates
900,2010,25670.591,Estimates
900,2011,25833.834,Estimates
900,2012,26023.849,Estimates
900,2013,26238.464,Estimates
900,2014,26476.896,Estimates
900,2015,26737.097,Estimates
901,1950,4409.499,Estimates
901,1951,4377.955,Estimates
901,1952,4319.108,Estimates
901,1953,4268.749,Estimates
901,1954,4226.873,Estimates
901,1955,4193.504,Estimates
901,1956,4168.697,Estimates
901,1957,4152.431,Estimates
901,1958,4144.724,Estimates
901,1959,4145.653,Estimates
901,1960,4155.194,Estimates
901,1961,4173.177,Estimates
901,1962,4199.171,Estimates
901,1963,4232.363,Estimates
901,1964,4271.583,Estimates
901,1965,4315.825,Estimates
901,1966,4364.222,Estimates
901,1967,4415.696,Estimates
901,1968,4468.878,Estimates
901,1969,4522.288,Estimates
901,1970,4574.031,Estimates
901,1971,4622.442,Estimates
901,1972,4667.294,Estimates
901,1973,4708.896,Estimates
901,1974,4747.733,Estimates
901,1975,4785.416,Estimates
901,1976,4824.219,Estimates
901,1977,4866.086,Estimates
901,1978,4912.16,Estimates
901,1979,4962.51,Estimates
901,1980,5015.981,Estimates
901,1981,5070.54,Estimates
901,1982,5124.0,Estimates
901,1983,5174.941,Estimates
901,1984,5223.223,Estimates
901,1985,5269.797,Estimates
901,1986,5316.44,Estimates
901,1987,5365.083,Estimates
901,1988,5416.909,Estimates
901,1989,5471.977,Estimates
901,1990,5530.019,Estimates
901,1991,5590.234,Estimates
901,1992,5650.834,Estimates
901,1993,5709.958,Estimates
901,1994,5766.273,Estimates
901,1995,5818.53,Estimates
901,1996,5865.906,Estimates
901,1997,5908.183,Estimates
901,1998,5945.13,Estimates
901,1999,5976.263,Estimates
901,2000,6000.358,Estimates
901,2001,6016.163,Estimates
901,2002,6024.212,Estimates
901,2003,6025.999,Estimates
901,2004,6023.496,Estimates
901,2005,6019.475,Estimates
901,2006,6016.963,Estimates
901,2007,6018.651,Estimates
901,2008,6026.793,Estimates
901,2009,6042.891,Estimates
901,2010,6068.119,Estimates
901,2011,6102.698,Estimates
901,2012,6144.691,Estimates
901,2013,6191.944,Estimates
901,2014,6242.986,Estimates
901,2015,6295.892,Estimates
902,1950,20232.328,Estimates
902,1951,20149.512,Estimates
902,1952,20009.632,Estimates
902,1953,19921.24,Estimates
902,1954,19884.359,Estimates
902,1955,19897.167,Estimates
902,1956,19953.549,Estimates
902,1957,20045.402,Estimates
902,1958,20157.034,Estimates
902,1959,20260.751,Estimates
902,1960,20325.435,Estimates
902,1961,20320.092,Estimates
902,1962,20217.069,Estimates
902,1963,20003.513,Estimates
902,1964,19686.951,Estimates
902,1965,19295.818,Estimates
902,1966,18873.731,Estimates
902,1967,18470.762,Estimates
902,1968,18125.408,Estimates
902,1969,17854.154,Estimates
902,1970,17657.914,Estimates
902,1971,17521.12,Estimates
902,1972,17412.102,Estimates
902,1973,17306.675,Estimates
902,1974,17198.958,Estimates
902,1975,17088.469,Estimates
902,1976,16980.719,Estimates
902,1977,16887.822,Estimates
902,1978,16819.525,Estimates
902,1979,16779.067,Estimates
902,1980,16770.283,Estimates
902,1981,16795.459,Estimates
902,1982,16850.965,Estimates
902,1983,16931.443,Estimates
902,1984,17031.908,Estimates
902,1985,17145.751,Estimates
902,1986,17265.994,Estimates
902,1987,17386.755,Estimates
902,1988,17503.136,Estimates
902,1989,17611.686,Estimates
902,1990,17710.566,Estimates
902,1991,17800.337,Estimates
902,1992,17885.387,Estimates
902,1993,17969.777,Estimates
902,1994,18055.338,Estimates
902,1995,18145.101,Estimates
902,1996,18242.035,Estimates
902,1997,18346.726,Estimates
902,1998,18458.366,Estimates
902,1999,18575.422,Estimates
902,2000,18693.644,Estimates
902,2001,18807.531,Estimates
902,2002,18913.072,Estimates
902,2003,19008.375,Estimates
902,2004,19093.993,Estimates
902,2005,19171.623,Estimates
902,2006,19244.41,Estimates
902,2007,19318.389,Estimates
902,2008,19399.731,Estimates
902,2009,19492.99,Estimates
902,2010,19602.472,Estimates
902,2011,19731.136,Estimates
902,2012,19879.158,Estimates
902,2013,20046.52,Estimates
902,2014,20233.91,Estimates
902,2015,20441.205,Estimates
941,1950,2769.822,Estimates
941,1951,2765.826,Estimates
941,1952,2759.443,Estimates
941,1953,2756.277,Estimates
941,1954,2756.335,Estimates
941,1955,2759.562,Estimates
941,1956,2765.806,Estimates
941,1957,2774.903,Estimates
941,1958,2786.508,Estimates
941,1959,2799.99,Estimates
941,1960,2814.691,Estimates
941,1961,2830.012,Estimates
941,1962,2845.54,Estimates
941,1963,2861.344,Estimates
941,1964,2878.08,Estimates
941,1965,2897.754,Estimates
941,1966,2922.936,Estimates
941,1967,2955.092,Estimates
941,1968,2994.503,Estimates
941,1969,3040.285,Estimates
941,1970,3090.492,Estimates
941,1971,3142.381,Estimates
941,1972,3192.712,Estimates
941,1973,3238.725,Estimates
941,1974,3278.844,Estimates
941,1975,3311.742,Estimates
941,1976,3336.998,Estimates
941,1977,3356.212,Estimates
941,1978,3371.215,Estimates
941,1979,3383.223,Estimates
941,1980,3393.376,Estimates
941,1981,3402.693,Estimates
941,1982,3412.477,Estimates
941,1983,3424.295,Estimates
941,1984,3439.732,Estimates
941,1985,3461.426,Estimates
941,1986,3491.897,Estimates
941,1987,3531.241,Estimates
941,1988,3578.326,Estimates
941,1989,3631.38,Estimates
941,1990,3687.185,Estimates
941,1991,3741.729,Estimates
941,1992,3791.229,Estimates
941,1993,3832.777,Estimates
941,1994,3864.902,Estimates
941,1995,3887.697,Estimates
941,1996,3902.802,Estimates
941,1997,3913.098,Estimates
941,1998,3920.59,Estimates
941,1999,3925.52,Estimates
941,2000,3926.763,Estimates
941,2001,3922.397,Estimates
941,2002,3910.924,Estimates
941,2003,3891.905,Estimates
941,2004,3866.18,Estimates
941,2005,3835.012,Estimates
941,2006,3800.102,Estimates
941,2007,3764.088,Estimates
941,2008,3729.669,Estimates
941,2009,3698.988,Estimates
941,2010,3674.093,Estimates
941,2011,3656.388,Estimates
941,2012,3645.733,Estimates
941,2013,3641.821,Estimates
941,2014,3644.664,Estimates
941,2015,3653.92,Estimates
934,1950,17462.506,Estimates
934,1951,17383.686,Estimates
934,1952,17250.189,Estimates
934,1953,17164.963,Estimates
934,1954,17128.024,Estimates
934,1955,17137.605,Estimates
934,1956,17187.743,Estimates
934,1957,17270.499,Estimates
934,1958,17370.526,Estimates
934,1959,17460.761,Estimates
934,1960,17510.744,Estimates
934,1961,17490.08,Estimates
934,1962,17371.529,Estimates
934,1963,17142.169,Estimates
934,1964,16808.871,Estimates
934,1965,16398.064,Estimates
934,1966,15950.795,Estimates
934,1967,15515.67,Estimates
934,1968,15130.905,Estimates
934,1969,14813.869,Estimates
934,1970,14567.422,Estimates
934,1971,14378.739,Estimates
934,1972,14219.39,Estimates
934,1973,14067.95,Estimates
934,1974,13920.114,Estimates
934,1975,13776.727,Estimates
934,1976,13643.721,Estimates
934,1977,13531.61,Estimates
934,1978,13448.31,Estimates
934,1979,13395.844,Estimates
934,1980,13376.907,Estimates
934,1981,13392.766,Estimates
934,1982,13438.488,Estimates
934,1983,13507.148,Estimates
934,1984,13592.176,Estimates
934,1985,13684.325,Estimates
934,1986,13774.097,Estimates
934,1987,13855.514,Estimates
934,1988,13924.81,Estimates
934,1989,13980.306,Estimates
934,1990,14023.381,Estimates
934,1991,14058.608,Estimates
934,1992,14094.158,Estimates
934,1993,14137.0,Estimates
934,1994,14190.436,Estimates
934,1995,14257.404,Estimates
934,1996,14339.233,Estimates
934,1997,14433.628,Estimates
934,1998,14537.776,Estimates
934,1999,14649.902,Estimates
934,2000,14766.881,Estimates
934,2001,14885.134,Estimates
934,2002,15002.148,Estimates
934,2003,15116.47,Estimates
934,2004,15227.813,Estimates
934,2005,15336.611,Estimates
934,2006,15444.308,Estimates
934,2007,15554.301,Estimates
934,2008,15670.062,Estimates
934,2009,15794.002,Estimates
934,2010,15928.379,Estimates
934,2011,16074.748,Estimates
934,2012,16233.425,Estimates
934,2013,16404.699,Estimates
934,2014,16589.246,Estimates
934,2015,16787.285,Estimates
948,1950,13856.594,Estimates
948,1951,13833.883,Estimates
948,1952,13791.294,Estimates
948,1953,13754.35,Estimates
948,1954,13723.075,Estimates
948,1955,13697.33,Estimates
948,1956,13676.758,Estimates
948,1957,13660.882,Estimates
948,1958,13648.805,Estimates
948,1959,13638.886,Estimates
948,1960,13629.348,Estimates
948,1961,13618.445,Estimates
948,1962,13604.771,Estimates
948,1963,13587.914,Estimates
948,1964,13568.79,Estimates
948,1965,13550.742,Estimates
948,1966,13538.33,Estimates
948,1967,13534.79,Estimates
948,1968,13541.427,Estimates
948,1969,13557.322,Estimates
948,1970,13578.672,Estimates
948,1971,13599.883,Estimates
948,1972,13615.77,Estimates
948,1973,13623.104,Estimates
948,1974,13621.523,Estimates
948,1975,13612.445,Estimates
948,1976,13599.107,Estimates
948,1977,13586.896,Estimates
948,1978,13580.535,Estimates
948,1979,13582.598,Estimates
948,1980,13595.396,Estimates
948,1981,13620.059,Estimates
948,1982,13655.134,Estimates
948,1983,13698.914,Estimates
948,1984,13750.372,Estimates
948,1985,13807.906,Estimates
948,1986,13869.601,Estimates
948,1987,13933.659,Estimates
948,1988,13998.652,Estimates
948,1989,14063.717,Estimates
948,1990,14128.328,Estimates
948,1991,14192.553,Estimates
948,1992,14257.693,Estimates
948,1993,14325.088,Estimates
948,1994,14395.555,Estimates
948,1995,14471.628,Estimates
948,1996,14556.197,Estimates
948,1997,14649.665,Estimates
948,1998,14750.572,Estimates
948,1999,14856.225,Estimates
948,2000,14961.544,Estimates
948,2001,15060.445,Estimates
948,2002,15148.062,Estimates
948,2003,15221.241,Estimates
948,2004,15278.998,Estimates
948,2005,15320.458,Estimates
948,2006,15346.194,Estimates
948,2007,15361.72,Estimates
948,2008,15373.831,Estimates
948,2009,15388.399,Estimates
948,2010,15412.618,Estimates
948,2011,15453.21,Estimates
948,2012,15513.851,Estimates
948,2013,15597.003,Estimates
948,2014,15704.302,Estimates
948,2015,15835.364,Estimates
1503,1950,4282.658,Estimates
1503,1951,4257.607,Estimates
1503,1952,4211.844,Estimates
1503,1953,4174.759,Estimates
1503,1954,4146.348,Estimates
1503,1955,4126.606,Estimates
1503,1956,4115.452,Estimates
1503,1957,4112.684,Estimates
1503,1958,4117.985,Estimates
1503,1959,4130.831,Estimates
1503,1960,4150.516,Estimates
1503,1961,4176.168,Estimates
1503,1962,4206.694,Estimates
1503,1963,4240.914,Estimates
1503,1964,4277.674,Estimates
1503,1965,4316.307,Estimates
1503,1966,4356.583,Estimates
1503,1967,4398.393,Estimates
1503,1968,4441.254,Estimates
1503,1969,4484.189,Estimates
1503,1970,4525.619,Estimates
1503,1971,4563.94,Estimates
1503,1972,4598.652,Estimates
1503,1973,4629.89,Estimates
1503,1974,4658.211,Estimates
1503,1975,4685.125,Estimates
1503,1976,4712.737,Estimates
1503,1977,4743.022,Estimates
1503,1978,4777.323,Estimates
1503,1979,4816.054,Estimates
1503,1980,4858.777,Estimates
1503,1981,4904.296,Estimates
1503,1982,4950.81,Estimates
1503,1983,4996.977,Estimates
1503,1984,5042.412,Estimates
1503,1985,5087.325,Estimates
1503,1986,5132.467,Estimates
1503,1987,5178.765,Estimates
1503,1988,5226.736,Estimates
1503,1989,5276.253,Estimates
1503,1990,5327.083,Estimates
1503,1991,5378.801,Estimates
1503,1992,5430.521,Estimates
1503,1993,5481.296,Estimates
1503,1994,5530.375,Estimates
1503,1995,5577.196,Estimates
1503,1996,5621.479,Estimates
1503,1997,5663.07,Estimates
1503,1998,5701.618,Estimates
1503,1999,5736.523,Estimates
1503,2000,5766.146,Estimates
1503,2001,5788.621,Estimates
1503,2002,5803.861,Estimates
1503,2003,5812.929,Estimates
1503,2004,5817.666,Estimates
1503,2005,5821.078,Estimates
1503,2006,5826.69,Estimates
1503,2007,5837.694,Estimates
1503,2008,5856.618,Estimates
1503,2009,5884.845,Estimates
1503,2010,5923.139,Estimates
1503,2011,5971.116,Estimates
1503,2012,6026.261,Estimates
1503,2013,6086.045,Estimates
1503,2014,6148.946,Estimates
1503,2015,6213.232,Estimates
1517,1950,18478.123,Estimates
1517,1951,18392.239,Estimates
1517,1952,18244.978,Estimates
1517,1953,18146.74,Estimates
1517,1954,18097.535,Estimates
1517,1955,18095.592,Estimates
1517,1956,18134.972,Estimates
1517,1957,18207.831,Estimates
1517,1958,18298.954,Estimates
1517,1959,18381.487,Estimates
1517,1960,18425.271,Estimates
1517,1961,18400.341,Estimates
1517,1962,18280.039,Estimates
1517,1963,18052.15,Estimates
1517,1964,17724.347,Estimates
1517,1965,17325.075,Estimates
1517,1966,16897.63,Estimates
1517,1967,16490.833,Estimates
1517,1968,16141.727,Estimates
1517,1969,15865.642,Estimates
1517,1970,15661.322,Estimates
1517,1971,15510.942,Estimates
1517,1972,15382.377,Estimates
1517,1973,15252.059,Estimates
1517,1974,15115.404,Estimates
1517,1975,14975.261,Estimates
1517,1976,14841.404,Estimates
1517,1977,14729.073,Estimates
1517,1978,14649.612,Estimates
1517,1979,14606.0,Estimates
1517,1980,14600.265,Estimates
1517,1981,14631.511,Estimates
1517,1982,14691.667,Estimates
1517,1983,14771.523,Estimates
1517,1984,14864.07,Estimates
1517,1985,14960.76,Estimates
1517,1986,15053.684,Estimates
1517,1987,15138.718,Estimates
1517,1988,15213.208,Estimates
1517,1989,15275.375,Estimates
1517,1990,15325.712,Estimates
1517,1991,15367.268,Estimates
1517,1992,15406.542,Estimates
1517,1993,15449.282,Estimates
1517,1994,15498.452,Estimates
1517,1995,15556.966,Estimates
1517,1996,15626.627,Estimates
1517,1997,15706.402,Estimates
1517,1998,15794.722,Estimates
1517,1999,15890.578,Estimates
1517,2000,15991.592,Estimates
1517,2001,16094.722,Estimates
1517,2002,16197.531,Estimates
1517,2003,16298.594,Estimates
1517,2004,16397.72,Estimates
1517,2005,16495.142,Estimates
1517,2006,16591.886,Estimates
1517,2007,16690.922,Estimates
1517,2008,16795.497,Estimates
1517,2009,16908.152,Estimates
1517,2010,17031.552,Estimates
1517,2011,17167.877,Estimates
1517,2012,17317.935,Estimates
1517,2013,17482.284,Estimates
1517,2014,17661.559,Estimates
1517,2015,17855.603,Estimates
1502,1950,8866.104,Estimates
1502,1951,8807.108,Estimates
1502,1952,8711.476,Estimates
1502,1953,8660.567,Estimates
1502,1954,8654.379,Estimates
1502,1955,8691.236,Estimates
1502,1956,8765.449,Estimates
1502,1957,8869.466,Estimates
1502,1958,8988.649,Estimates
1502,1959,9097.202,Estimates
1502,1960,9166.1,Estimates
1502,1961,9166.396,Estimates
1502,1962,9072.144,Estimates
1502,1963,8871.059,Estimates
1502,1964,8569.746,Estimates
1502,1965,8193.001,Estimates
1502,1966,7779.417,Estimates
1502,1967,7375.406,Estimates
1502,1968,7017.921,Estimates
1502,1969,6724.394,Estimates
1502,1970,6499.897,Estimates
1502,1971,6334.982,Estimates
1502,1972,6203.66,Estimates
1502,1973,6085.222,Estimates
1502,1974,5974.092,Estimates
1502,1975,5868.015,Estimates
1502,1976,5768.686,Estimates
1502,1977,5682.25,Estimates
1502,1978,5613.363,Estimates
1502,1979,5562.617,Estimates
1502,1980,5531.447,Estimates
1502,1981,5521.03,Estimates
1502,1982,5529.749,Estimates
1502,1983,5554.668,Estimates
1502,1984,5592.491,Estimates
1502,1985,5638.962,Estimates
1502,1986,5689.677,Estimates
1502,1987,5741.024,Estimates
1502,1988,5789.949,Estimates
1502,1989,5834.234,Estimates
1502,1990,5872.705,Estimates
1502,1991,5905.723,Estimates
1502,1992,5936.003,Estimates
1502,1993,5966.015,Estimates
1502,1994,5996.799,Estimates
1502,1995,6029.256,Estimates
1502,1996,6064.002,Estimates
1502,1997,6101.361,Estimates
1502,1998,6141.77,Estimates
1502,1999,6185.865,Estimates
1502,2000,6233.802,Estimates
1502,2001,6285.377,Estimates
1502,2002,6340.503,Estimates
1502,2003,6399.519,Estimates
1502,2004,6463.208,Estimates
1502,2005,6533.093,Estimates
1502,2006,6610.849,Estimates
1502,2007,6697.255,Estimates
1502,2008,6792.425,Estimates
1502,2009,6895.91,Estimates
1502,2010,7006.423,Estimates
1502,2011,7122.137,Estimates
1502,2012,7241.045,Estimates
1502,2013,7361.607,Estimates
1502,2014,7483.118,Estimates
1502,2015,7605.346,Estimates
1501,1950,9612.019,Estimates
1501,1951,9585.131,Estimates
1501,1952,9533.502,Estimates
1501,1953,9486.173,Estimates
1501,1954,9443.156,Estimates
1501,1955,9404.356,Estimates
1501,1956,9369.523,Estimates
1501,1957,9338.365,Estimates
1501,1958,9310.305,Estimates
1501,1959,9284.285,Estimates
1501,1960,9259.171,Estimates
1501,1961,9233.945,Estimates
1501,1962,9207.895,Estimates
1501,1963,9181.091,Estimates
1501,1964,9154.601,Estimates
1501,1965,9132.074,Estimates
1501,1966,9118.213,Estimates
1501,1967,9115.427,Estimates
1501,1968,9123.806,Estimates
1501,1969,9141.248,Estimates
1501,1970,9161.425,Estimates
1501,1971,9175.96,Estimates
1501,1972,9178.717,Estimates
1501,1973,9166.837,Estimates
1501,1974,9141.312,Estimates
1501,1975,9107.246,Estimates
1501,1976,9072.718,Estimates
1501,1977,9046.823,Estimates
1501,1978,9036.249,Estimates
1501,1979,9043.383,Estimates
1501,1980,9068.818,Estimates
1501,1981,9110.481,Estimates
1501,1982,9161.918,Estimates
1501,1983,9216.855,Estimates
1501,1984,9271.579,Estimates
1501,1985,9321.798,Estimates
1501,1986,9364.007,Estimates
1501,1987,9397.694,Estimates
1501,1988,9423.259,Estimates
1501,1989,9441.141,Estimates
1501,1990,9453.007,Estimates
1501,1991,9461.545,Estimates
1501,1992,9470.539,Estimates
1501,1993,9483.267,Estimates
1501,1994,9501.653,Estimates
1501,1995,9527.71,Estimates
1501,1996,9562.625,Estimates
1501,1997,9605.041,Estimates
1501,1998,9652.952,Estimates
1501,1999,9704.713,Estimates
1501,2000,9757.79,Estimates
1501,2001,9809.345,Estimates
1501,2002,9857.028,Estimates
1501,2003,9899.075,Estimates
1501,2004,9934.512,Estimates
1501,2005,9962.049,Estimates
1501,2006,9981.037,Estimates
1501,2007,9993.667,Estimates
1501,2008,10003.072,Estimates
1501,2009,10012.242,Estimates
1501,2010,10025.129,Estimates
1501,2011,10045.74,Estimates
1501,2012,10076.89,Estimates
1501,2013,10120.677,Estimates
1501,2014,10178.441,Estimates
1501,2015,10250.257,Estimates
1500,1950,1873.546,Estimates
1500,1951,1870.231,Estimates
1500,1952,1864.733,Estimates
1500,1953,1861.49,Estimates
1500,1954,1860.508,Estimates
1500,1955,1861.772,Estimates
1500,1956,1865.237,Estimates
1500,1957,1870.831,Estimates
1500,1958,1878.411,Estimates
1500,1959,1887.742,Estimates
1500,1960,1898.551,Estimates
1500,1961,1910.515,Estimates
1500,1962,1923.308,Estimates
1500,1963,1936.659,Estimates
1500,1964,1950.416,Estimates
1500,1965,1964.228,Estimates
1500,1966,1977.787,Estimates
1500,1967,1991.367,Estimates
1500,1968,2005.531,Estimates
1500,1969,2020.93,Estimates
1500,1970,2039.417,Estimates
1500,1971,2063.18,Estimates
1500,1972,2092.941,Estimates
1500,1973,2128.253,Estimates
1500,1974,2167.752,Estimates
1500,1975,2208.195,Estimates
1500,1976,2245.493,Estimates
1500,1977,2276.49,Estimates
1500,1978,2299.396,Estimates
1500,1979,2314.131,Estimates
1500,1980,2321.785,Estimates
1500,1981,2324.708,Estimates
1500,1982,2326.965,Estimates
1500,1983,2332.323,Estimates
1500,1984,2343.062,Estimates
1500,1985,2361.856,Estimates
1500,1986,2390.666,Estimates
1500,1987,2428.73,Estimates
1500,1988,2474.469,Estimates
1500,1989,2526.392,Estimates
1500,1990,2582.133,Estimates
1500,1991,2638.831,Estimates
1500,1992,2693.468,Estimates
1500,1993,2743.44,Estimates
1500,1994,2787.037,Estimates
1500,1995,2823.687,Estimates
1500,1996,2854.015,Estimates
1500,1997,2879.57,Estimates
1500,1998,2901.238,Estimates
1500,1999,2918.607,Estimates
1500,2000,2930.223,Estimates
1500,2001,2934.237,Estimates
1500,2002,2929.697,Estimates
1500,2003,2916.57,Estimates
1500,2004,2895.73,Estimates
1500,2005,2868.404,Estimates
1500,2006,2836.221,Estimates
1500,2007,2801.745,Estimates
1500,2008,2767.624,Estimates
1500,2009,2735.994,Estimates
1500,2010,2708.897,Estimates
1500,2011,2687.726,Estimates
1500,2012,2672.415,Estimates
1500,2013,2662.762,Estimates
1500,2014,2658.882,Estimates
1500,2015,2660.608,Estimates
947,1950,2526.386,Estimates
947,1951,2528.111,Estimates
947,1952,2532.099,Estimates
947,1953,2537.145,Estimates
947,1954,2543.262,Estimates
947,1955,2550.45,Estimates
947,1956,2558.764,Estimates
947,1957,2568.243,Estimates
947,1958,2578.997,Estimates
947,1959,2591.196,Estimates
947,1960,2605.053,Estimates
947,1961,2620.732,Estimates
947,1962,2638.384,Estimates
947,1963,2658.022,Estimates
947,1964,2679.511,Estimates
947,1965,2702.508,Estimates
947,1966,2726.573,Estimates
947,1967,2751.311,Estimates
947,1968,2776.454,Estimates
947,1969,2801.925,Estimates
947,1970,2827.736,Estimates
947,1971,2854.019,Estimates
947,1972,2881.171,Estimates
947,1973,2909.589,Estimates
947,1974,2939.568,Estimates
947,1975,2971.287,Estimates
947,1976,3004.82,Estimates
947,1977,3040.252,Estimates
947,1978,3077.747,Estimates
947,1979,3117.592,Estimates
947,1980,3159.688,Estimates
947,1981,3203.77,Estimates
947,1982,3250.002,Estimates
947,1983,3298.972,Estimates
947,1984,3351.548,Estimates
947,1985,3409.59,Estimates
947,1986,3475.196,Estimates
947,1987,3549.242,Estimates
947,1988,3631.685,Estimates
947,1989,3721.731,Estimates
947,1990,3817.891,Estimates
947,1991,3918.119,Estimates
947,1992,4019.705,Estimates
947,1993,4120.145,Estimates
947,1994,4217.721,Estimates
947,1995,4312.616,Estimates
947,1996,4406.266,Estimates
947,1997,4499.348,Estimates
947,1998,4590.84,Estimates
947,1999,4677.964,Estimates
947,2000,4755.64,Estimates
947,2001,4818.14,Estimates
947,2002,4861.963,Estimates
947,2003,4885.526,Estimates
947,2004,4889.185,Estimates
947,2005,4874.371,Estimates
947,2006,4844.068,Estimates
947,2007,4804.339,Estimates
947,2008,4761.421,Estimates
947,2009,4719.926,Estimates
947,2010,4684.449,Estimates
947,2011,4658.322,Estimates
947,2012,4641.916,Estimates
947,2013,4635.242,Estimates
947,2014,4638.796,Estimates
947,2015,4652.26,Estimates
903,1950,3130.303,Estimates
903,1951,3129.942,Estimates
903,1952,3130.216,Estimates
903,1953,3132.465,Estimates
903,1954,3136.703,Estimates
903,1955,3142.919,Estimates
903,1956,3151.134,Estimates
903,1957,3161.325,Estimates
903,1958,3173.494,Estimates
903,1959,3187.629,Estimates
903,1960,3203.72,Estimates
903,1961,3221.702,Estimates
903,1962,3241.493,Estimates
903,1963,3262.927,Estimates
903,1964,3285.814,Estimates
903,1965,3309.93,Estimates
903,1966,3335.086,Estimates
903,1967,3361.123,Estimates
903,1968,3387.883,Estimates
903,1969,3415.208,Estimates
903,1970,3442.951,Estimates
903,1971,3470.997,Estimates
903,1972,3499.435,Estimates
903,1973,3528.376,Estimates
903,1974,3557.936,Estimates
903,1975,3588.094,Estimates
903,1976,3618.803,Estimates
903,1977,3650.255,Estimates
903,1978,3682.791,Estimates
903,1979,3716.839,Estimates
903,1980,3752.424,Estimates
903,1981,3789.404,Estimates
903,1982,3828.179,Estimates
903,1983,3869.634,Estimates
903,1984,3914.941,Estimates
903,1985,3966.325,Estimates
903,1986,4026.193,Estimates
903,1987,4095.527,Estimates
903,1988,4174.316,Estimates
903,1989,4261.775,Estimates
903,1990,4356.264,Estimates
903,1991,4455.468,Estimates
903,1992,4556.38,Estimates
903,1993,4656.303,Estimates
903,1994,4753.481,Estimates
903,1995,4848.197,Estimates
903,1996,4942.075,Estimates
903,1997,5036.044,Estimates
903,1998,5129.257,Estimates
903,1999,5218.979,Estimates
903,2000,5300.131,Estimates
903,2001,5366.931,Estimates
903,2002,5415.706,Estimates
903,2003,5444.707,Estimates
903,2004,5454.18,Estimates
903,2005,5445.488,Estimates
903,2006,5421.587,Estimates
903,2007,5388.516,Estimates
903,2008,5352.454,Estimates
903,2009,5317.918,Estimates
903,2010,5289.347,Estimates
903,2011,5269.926,Estimates
903,2012,5259.981,Estimates
903,2013,5259.537,Estimates
903,2014,5269.133,Estimates
903,2015,5288.541,Estimates
910,1950,914.218,Estimates
910,1951,916.145,Estimates
910,1952,919.976,Estimates
910,1953,923.758,Estimates
910,1954,927.492,Estimates
910,1955,931.181,Estimates
910,1956,934.864,Estimates
910,1957,938.582,Estimates
910,1958,942.431,Estimates
910,1959,946.561,Estimates
910,1960,951.161,Estimates
910,1961,956.432,Estimates
910,1962,962.584,Estimates
910,1963,969.79,Estimates
910,1964,978.137,Estimates
910,1965,987.625,Estimates
910,1966,998.152,Estimates
910,1967,1009.546,Estimates
910,1968,1021.691,Estimates
910,1969,1034.569,Estimates
910,1970,1048.146,Estimates
910,1971,1062.408,Estimates
910,1972,1077.448,Estimates
910,1973,1093.414,Estimates
910,1974,1110.459,Estimates
910,1975,1128.911,Estimates
910,1976,1149.132,Estimates
910,1977,1171.245,Estimates
910,1978,1195.188,Estimates
910,1979,1220.766,Estimates
910,1980,1247.191,Estimates
910,1981,1273.431,Estimates
910,1982,1299.005,Estimates
910,1983,1323.985,Estimates
910,1984,1348.936,Estimates
910,1985,1375.899,Estimates
910,1986,1407.519,Estimates
910,1987,1445.172,Estimates
910,1988,1488.951,Estimates
910,1989,1537.684,Estimates
910,1990,1588.63,Estimates
910,1991,1638.13,Estimates
910,1992,1682.688,Estimates
910,1993,1719.805,Estimates
910,1994,1748.521,Estimates
910,1995,1769.703,Estimates
910,1996,1785.683,Estimates
910,1997,1799.381,Estimates
910,1998,1812.559,Estimates
910,1999,1825.059,Estimates
910,2000,1835.085,Estimates
910,2001,1839.84,Estimates
